,1,class
107,4,downy-mildew
108,5,downy-mildew
109,1,brown-spot
110,2,brown-spot
111,2,brown-spot
112,2,brown-spot
113,1,brown-spot
114,1,brown-spot
115,0,brown-spot
116,2,brown-spot
117,1,brown-spot
118,2,brown-spot
119,5,brown-spot
120,1,brown-spot
121,1,brown-spot
122,4,brown-spot
123,1,brown-spot
124,4,brown-spot
125,2,brown-spot
126,0,brown-spot
127,1,brown-spot
128,1,brown-spot
129,1,brown-spot
130,2,brown-spot
131,3,brown-spot
132,2,brown-spot
133,1,brown-spot
134,1,brown-spot
135,5,brown-spot
136,4,brown-spot
137,3,brown-spot
138,1,brown-spot
139,4,brown-spot
140,2,brown-spot
141,2,brown-spot
142,3,brown-spot
143,3,brown-spot
144,2,brown-spot
145,3,brown-spot
146,3,brown-spot
147,2,brown-spot
148,5,brown-spot
149,5,bacterial-blight
150,4,bacterial-blight
151,2,bacterial-blight
152,3,bacterial-blight
153,3,bacterial-blight
154,3,bacterial-blight
155,3,bacterial-blight
156,4,bacterial-blight
157,2,bacterial-blight
158,4,bacterial-blight
159,2,bacterial-pustule
160,3,bacterial-pustule
161,2,bacterial-pustule
162,4,bacterial-pustule
163,3,bacterial-pustule
164,3,bacterial-pustule
165,3,bacterial-pustule
166,3,bacterial-pustule
167,4,bacterial-pustule
168,5,bacterial-pustule
169,6,purple-seed-stain
170,6,purple-seed-stain
171,4,purple-seed-stain
172,4,purple-seed-stain
173,4,purple-seed-stain
174,6,purple-seed-stain
175,3,purple-seed-stain
176,3,purple-seed-stain
177,5,purple-seed-stain
178,4,purple-seed-stain
179,5,anthracnose
180,5,anthracnose
181,6,anthracnose
182,2,anthracnose
183,3,anthracnose
184,4,anthracnose
185,6,anthracnose
186,1,anthracnose
187,6,anthracnose
188,5,anthracnose
189,5,anthracnose
190,0,anthracnose
191,6,anthracnose
192,5,anthracnose
193,5,anthracnose
194,6,anthracnose
195,5,anthracnose
196,6,anthracnose
197,5,anthracnose
198,5,anthracnose
199,3,phyllosticta-leaf-spot
200,3,phyllosticta-leaf-spot
201,3,phyllosticta-leaf-spot
202,3,phyllosticta-leaf-spot
203,3,phyllosticta-leaf-spot
204,2,phyllosticta-leaf-spot
205,1,phyllosticta-leaf-spot
206,2,phyllosticta-leaf-spot
207,2,phyllosticta-leaf-spot
208,2,phyllosticta-leaf-spot
209,4,alternarialeaf-spot
210,4,alternarialeaf-spot
211,3,alternarialeaf-spot
212,6,alternarialeaf-spot
213,6,alternarialeaf-spot
214,5,alternarialeaf-spot
215,6,alternarialeaf-spot
216,5,alternarialeaf-spot
217,6,alternarialeaf-spot
218,6,alternarialeaf-spot
219,5,alternarialeaf-spot
220,4,alternarialeaf-spot
221,6,alternarialeaf-spot
222,5,alternarialeaf-spot
223,5,alternarialeaf-spot
224,4,alternarialeaf-spot
225,4,alternarialeaf-spot
226,5,alternarialeaf-spot
227,6,alternarialeaf-spot
228,6,alternarialeaf-spot
229,5,alternarialeaf-spot
230,5,alternarialeaf-spot
231,4,alternarialeaf-spot
232,6,alternarialeaf-spot
233,4,alternarialeaf-spot
234,6,alternarialeaf-spot
235,4,alternarialeaf-spot
236,4,alternarialeaf-spot
237,5,alternarialeaf-spot
238,3,alternarialeaf-spot
239,5,alternarialeaf-spot
240,5,alternarialeaf-spot
241,4,alternarialeaf-spot
242,5,alternarialeaf-spot
243,6,alternarialeaf-spot
244,5,alternarialeaf-spot
245,6,alternarialeaf-spot
246,5,alternarialeaf-spot
247,5,alternarialeaf-spot
248,6,alternarialeaf-spot
249,6,frog-eye-leaf-spot
250,4,frog-eye-leaf-spot
251,5,frog-eye-leaf-spot
252,5,frog-eye-leaf-spot
253,6,frog-eye-leaf-spot
254,4,frog-eye-leaf-spot
255,3,frog-eye-leaf-spot
256,5,frog-eye-leaf-spot
257,5,frog-eye-leaf-spot
258,5,frog-eye-leaf-spot
259,5,frog-eye-leaf-spot
260,4,frog-eye-leaf-spot
261,4,frog-eye-leaf-spot
262,4,frog-eye-leaf-spot
263,3,frog-eye-leaf-spot
264,5,frog-eye-leaf-spot
265,5,frog-eye-leaf-spot
266,4,frog-eye-leaf-spot
267,5,frog-eye-leaf-spot
268,5,frog-eye-leaf-spot
269,3,frog-eye-leaf-spot
270,6,frog-eye-leaf-spot
271,5,frog-eye-leaf-spot
272,5,frog-eye-leaf-spot
273,5,frog-eye-leaf-spot
274,3,frog-eye-leaf-spot
275,6,frog-eye-leaf-spot
276,4,frog-eye-leaf-spot
277,4,frog-eye-leaf-spot
278,6,frog-eye-leaf-spot
279,5,frog-eye-leaf-spot
280,4,frog-eye-leaf-spot
281,4,frog-eye-leaf-spot
282,4,frog-eye-leaf-spot
283,4,frog-eye-leaf-spot
284,5,frog-eye-leaf-spot
285,4,frog-eye-leaf-spot
286,5,frog-eye-leaf-spot
287,5,frog-eye-leaf-spot
288,5,frog-eye-leaf-spot
289,5,diaporthe-pod-&-stem-blight
290,6,diaporthe-pod-&-stem-blight
291,5,diaporthe-pod-&-stem-blight
292,1,diaporthe-pod-&-stem-blight
293,5,diaporthe-pod-&-stem-blight
294,5,diaporthe-pod-&-stem-blight
295,2,cyst-nematode
296,3,cyst-nematode
297,4,cyst-nematode
298,3,cyst-nematode
299,3,cyst-nematode
300,4,cyst-nematode
301,?,2-4-d-injury
302,1,herbicide-injury
303,0,herbicide-injury
304,1,herbicide-injury
305,1,herbicide-injury
