,PMCno,Ht,DBH,Utility
133,1171,10.1,13.1,low
134,1596,12.3,15.1,best
135,1337,13.5,24.5,best
136,2459,13.3,23.7,best
137,1785,7.6,10.5,low
138,1598,10.3,14,average
139,1787,13.8,21.8,best
140,2482,12.1,16.4,best
141,2431,12.4,17.6,good
142,1192,4.4,12.2,low
143,1524,6.8,9,none
144,2435,13.6,20.3,good
145,1340,6.3,8.8,none
146,1094,3.2,2.86,none
147,1111,4.11,4.49,low
148,1112,6.68,9.89,best
149,1595,3.05,5.34,low
150,1339,4.07,3.28,low
151,2447,5.39,7.62,good
152,1786,5.39,6.05,good
153,1596,5.07,6.38,best
154,1171,4.3,6.16,low
155,2469,7.37,19.92,low
156,1785,3.91,3.91,average
157,1598,9.26,10.75,best
158,2428,5.02,3.63,good
159,2431,5.86,6.14,best
160,1787,4.88,5.3,good
161,2435,9.39,14.93,good
162,1524,3.72,3.21,low
163,1340,6.48,5.93,low
164,1780,4.85,6.24,low
165,1094,2.17,1.03,none
166,1111,4.62,6.29,average
167,1112,7.83,11.43,best
168,1113,3.98,3.98,average
169,1595,2.92,2.8,low
170,1338,5.89,6.07,low
171,1978,4.66,4.04,average
172,1482,6.25,11.03,average
173,1339,10.12,12.49,best
174,2447,6.83,9.99,good
175,1786,9.99,17.74,best
176,1596,3.77,2.73,good
177,1171,2.9,2.79,low
178,2469,8.94,9.88,good
179,1337,8.21,8.63,good
180,1785,4.03,4.39,none
181,1598,7.77,7.94,best
182,2428,6.42,6.48,good
183,2431,6.7,6.28,good
184,1787,8.37,11.58,best
185,2435,4.27,3.56,average
186,1524,3.08,2.57,low
187,1340,5.74,5.37,none
188,1780,3.64,2.6,none
189,1094,5.48,5.26,none
190,1111,4.11,4.88,average
191,1112,6.68,7.83,good
192,1113,4.11,4.62,average
193,1595,2.67,2.29,low
194,1338,7.45,7.28,good
195,1978,9.93,16.54,best
196,1482,7.84,10.54,good
197,1339,4.73,3.81,good
198,2447,8.41,11.57,best
199,1786,8.81,13.67,best
200,1596,5.99,7.03,best
201,1171,?,?,none
202,2469,8,7.68,best
203,1785,3.56,3.2,low
204,1598,5.62,6.78,average
205,2428,5.86,5.16,best
206,2431,5.16,3.35,good
207,1787,4.88,3.77,best
208,1524,4.49,4.49,low
209,1340,5.74,6.11,low
210,1780,4.68,3.51,low
211,1094,10.3,12,low
212,1111,8.4,15,average
213,1112,11.1,13,average
214,1113,9.5,8.6,low
215,1338,6.6,8.2,average
216,1978,10,15.7,good
217,1482,8.8,15.9,good
218,1339,9.9,13.7,average
219,2447,9.1,11.2,good
220,1786,11.8,18.9,average
221,1596,8.9,11.6,best
222,1171,8.9,8.6,low
223,2469,12.3,13.4,best
224,1337,11.8,19.6,best
225,1785,8.7,11.1,good
226,1598,10,10.8,good
227,2428,12.2,11.2,good
228,2430,13,14,good
229,2431,9.6,9,good
230,1787,12.9,14.4,good
231,1780,5.3,8.8,average
232,1524,7,6.5,low
233,1340,5.7,5.7,low
234,1595,4.9,8,average
235,1094,6.8,7.3,none
236,1111,5.6,6.9,none
237,1112,6.6,7.4,none
238,1113,5.4,6.6,none
239,1338,5.6,7.3,none
240,1978,10.3,19.6,none
241,1482,15.8,15.4,none
242,1339,11.6,15,none
243,2447,11.1,13.9,none
244,1786,12.1,15.6,none
245,1596,8.6,7.9,none
246,1171,5.8,6.6,none
247,2469,12.3,15.2,none
248,1337,12.1,17.1,none
249,1785,3.4,5.5,none
250,1598,12.7,15.3,none
251,2428,9.8,10.9,none
252,2430,10.4,13,none
253,2431,10.2,10.6,none
254,1787,10,10.3,none
255,1780,5.9,3.2,none
256,2435,13,15,none
257,1524,5.6,6.8,none
258,1340,6.1,7.7,none
259,1595,2.9,3.1,none
260,1094,6,10.5,low
261,1111,1.8,1.6,none
262,1112,3.2,4,low
263,1113,2.7,3.3,none
264,1338,8.5,9.4,low
265,1978,8.1,11,best
266,1482,5.6,7.8,good
267,1339,9.5,10.1,average
268,2447,7.3,6.9,good
269,1786,9.6,11.9,good
270,1596,9.4,10.4,best
271,1171,2.9,3.5,none
272,2469,5.6,5.7,good
273,1337,7.5,10.5,good
274,1785,3.2,4.3,none
275,1598,7.3,13.6,average
276,2428,8.2,12.3,best
277,2430,7.1,9.7,best
278,1787,9,13,best
279,1780,2.8,4.9,low
280,2435,7,6,low
281,1524,7.4,11.8,average
282,1340,5.3,6.2,low
283,1595,1.8,1.5,low
284,1111,3.63,6.02,low
285,2620,3.2,2.29,none
286,2621,4.34,3.31,low
287,2426,5.01,53.86,low
288,1482,12.21,19.66,good
289,2548,12.82,22.23,good
290,2552,2.43,1.82,none
291,2631,5.23,6.97,none
292,1596,8.72,12.21,good
293,2634,8.1,6.6,average
294,2635,3.74,7.48,low
295,1259,8.01,9.65,average
296,1785,3.3,3.53,low
297,2573,8.04,15.02,average
298,2550,7.14,11.27,average
299,2575,3.43,2.72,none
300,1340,3.38,2.1,none
301,1592,8.08,7.5,average
302,2560,5.19,4.39,average
303,1111,6.81,12.26,average
304,2620,3.43,3.54,low
305,2621,2.63,3.09,low
306,2548,4.89,5.5,low
307,1171,8.95,6.97,low
308,1596,4.98,5.73,low
309,2569,15.38,19.44,best
310,2634,9.97,10.97,good
311,2635,4.36,5.86,average
312,2550,14.08,17.6,best
313,2553,6.45,6.34,average
314,2574,2.34,1.17,none
315,2575,5.32,6.97,none
316,1340,3.85,2.1,none
317,1592,8.08,11.77,best
318,1111,6.24,9.65,low
319,2638,1.75,0.58,none
320,1171,11.62,11.62,low
321,2631,6.97,9.06,none
322,1788,11.77,15.31,best
323,1259,8.24,7.65,average
324,2571,8.24,6.42,average
325,2553,13.5,19.13,best
326,2574,14.08,15.26,best
327,2575,4.13,4.84,low
328,1340,6.06,7.58,low
329,1592,17.9,24.24,good
330,2560,14.6,20.24,good
331,2562,14.14,17.4,good
332,1252,15.64,17.36,average
333,2548,16.6,41.04,good
334,1596,9.92,15.02,good
335,2569,11.8,17.83,good
336,2547,10.23,20.8,average
337,2568,16.71,24.89,average
338,1522,10.66,19.13,good
339,2570,12.2,17.59,average
340,2571,17.3,19.35,average
341,2573,17.42,21.7,good
342,2550,3.34,7.84,low
343,2553,17.43,25.57,average
344,2575,9.4,6.87,none
345,2552,20.52,31.87,average
346,2574,15.54,15.11,good
347,2634,14.75,21.72,good
348,1592,19.69,24.95,good
349,2560,16.11,17.35,good
350,2562,19.09,18.81,best
351,1252,11.87,15.35,average
352,2548,12.61,22.6,average
353,1596,16.76,21.45,good
354,2569,15.82,15.15,good
355,2568,19.26,20.46,good
356,1522,15.41,20.8,good
357,2570,19.9,22.98,best
358,1788,16.52,16.99,average
359,2571,20.14,19.67,good
360,2750,14.67,29.47,best
361,2573,17.74,23.29,best
362,2550,15.98,24.55,average
363,2553,21.06,23.53,good
364,2575,6.03,3.62,none
365,2552,18.88,31.73,good
366,2458,10.53,18.88,average
367,2574,20.33,24.4,good
368,1592,14.18,18.4,good
369,2560,8.26,18.59,average
370,2562,15.56,14.87,good
371,2548,14.6,41.51,average
372,1596,14.75,19.04,good
373,2569,12.87,15.55,good
374,2547,18.75,25.4,average
375,2568,18.55,47.73,good
376,1522,17.33,21.7,good
377,2570,15.41,34.67,average
378,1788,13.38,7.4,none
379,2571,19.34,22.03,best
380,2750,16.37,32.75,best
381,2573,17.9,27.4,good
382,2550,18.59,23.1,good
383,2553,18.45,20.34,good
384,2575,4.82,5.18,none
385,2552,9.05,15.05,average
386,2574,21.79,22.08,good
387,2634,20.11,26.28,good
388,2562,12.44,17.41,good
389,1252,11.21,12.96,average
390,1,7.19,6.77,average
391,2548,4.43,2.95,none
392,1596,6.56,7.68,average
393,2569,11.67,16.69,average
394,2458,7.05,8.46,low
395,1788,5.9,5.35,low
396,2571,14.23,14.82,good
397,2750,7.81,9.19,none
398,2573,4.44,5.19,none
399,2553,11.04,9.73,good
400,2575,8.81,13.54,average
401,2552,7.21,5.78,none
402,1252,4.61,5.36,low
403,1,9.81,11.88,average
404,1482,9.9,14.03,good
405,2548,11.82,23.63,good
406,2552,8.66,10.39,average
407,1596,6.79,7.83,good
408,2569,10.34,11.23,good
409,2547,8.01,9.13,average
410,2568,8.57,11.66,low
411,2570,4.93,3.81,none
412,1788,10.98,16.16,good
413,2571,7.91,8.83,good
414,2750,1.53,1.38,none
415,2573,2.96,1.48,none
416,2550,8.42,9.15,average
417,2553,4.36,4.79,low
418,2575,6.83,6.7,low
419,1592,10.67,15.73,best
420,2560,11.49,13.13,best
421,2562,7.46,9.94,average
422,1252,5.61,5.86,low
423,1,9.67,9.12,average
424,1482,5.17,6.94,low
425,2548,13.29,16.25,average
426,2552,2.89,1.59,low
427,2569,5.91,5.32,average
428,2547,14.19,24.73,best
429,2568,7.02,9.13,low
430,1522,2.82,1.41,none
431,2458,3.1,2.11,none
432,2570,14.1,21.43,good
433,2571,7.27,8.75,low
434,2750,3.68,3.37,low
435,2553,7.99,8.13,average
436,2575,4.6,2.63,none
437,1592,9.87,23.59,good
438,2560,8.67,20.72,best
439,2562,11.02,19.64,good
440,1252,8.85,14.13,low
441,1482,8.83,22.62,low
442,2548,6.24,15.98,average
443,1596,7.67,16.18,best
444,2569,8.74,18.44,good
445,2547,9.62,21.25,good
446,2568,7.64,16.7,good
447,1522,7.8,15.73,best
448,2570,8.21,16.55,good
449,2571,5.24,13.67,good
450,2750,7.25,12.8,average
451,2553,11.37,20.82,average
452,2575,5.08,6.65,average
453,2552,9.59,18.88,good
454,1592,10.49,24.3,good
455,2560,7.08,16.5,good
456,2562,9.9,17.62,good
457,1252,9.23,12.52,low
458,1482,8.52,21.8,none
459,2548,5.35,13.7,good
460,1596,5.2,10.97,good
461,2569,9.89,20.86,none
462,2547,9.27,20.31,good
463,2568,9.27,20.29,low
464,1522,3.76,7.6,none
465,2570,9.41,19.01,good
466,2571,6.19,16.15,good
467,2750,8.17,14.5,none
468,2553,6.41,11.28,good
469,2575,8.75,13.31,low
470,2552,7.56,14.89,good
471,1592,8.3,19.34,good
472,2560,9.13,21.27,good
473,2562,9.9,17.62,good
474,1252,7.54,10.36,low
475,1482,8.74,22.38,good
476,2548,3.65,6.34,low
477,1596,7,14.77,good
478,2569,4.79,10.11,good
479,2547,8.29,18.16,good
480,2568,9.63,21.09,good
481,1522,8.83,17.84,good
482,2570,9.06,18.3,average
483,2571,5.57,14.53,average
484,2750,8.94,13.26,good
485,2553,6.56,11.55,good
486,2575,9.1,15.93,low
487,2552,7.23,14.25,average
488,2751,6.27,12.35,good
489,2574,4.1,7.22,average
490,1592,5.77,10.4,average
491,2560,7.27,11.66,average
492,1111,7.2,10.99,average
493,2620,6.25,7.87,low
494,2621,6.72,7.64,low
495,2638,1.74,1.27,none
496,2426,7.47,11.85,average
497,1482,5.81,6.52,good
498,2548,5.69,7.7,average
499,1171,3.45,10.81,none
500,2631,6.56,17.83,low
501,2569,6.62,12.5,good
502,2634,5.88,7.97,average
503,2635,7.48,8.58,good
504,2570,5.44,6.05,average
505,1788,6.76,6.76,none
506,1259,9.09,13.99,average
507,1785,5.95,8.65,none
508,2571,13.17,16.79,good
509,2573,3.06,2.45,none
510,2550,8.68,9.84,average
511,1352,4.05,4.98,low
512,2432,6.14,8.92,average
513,2553,6.6,13.39,average
514,2574,9.03,13.43,good
515,2575,5.67,9.84,none
516,1592,5.31,4.73,good
517,2560,4.62,6.35,average
518,1111,10.73,18.99,good
519,2620,5.91,7.3,low
520,2621,4.98,8.11,average
521,2638,3.5,5.25,low
522,2426,9.48,16.69,best
523,1482,2.73,2.37,none
524,2548,6.52,10.08,average
525,2552,12.45,17.19,good
526,1171,1.12,1.27,none
527,2631,4.6,5.75,none
528,1595,8.95,15.69,good
529,2569,10.42,17.03,good
530,2634,10.42,17.77,average
531,2635,10.66,17.4,good
532,2570,7.74,10.16,good
533,1788,4.2,6.06,none
534,1259,5.6,10.37,low
535,1785,2.91,2.56,none
536,2571,4.08,8.98,average
537,2573,4.29,7.84,none
538,2550,4.05,5.44,none
539,1352,11,11.93,good
540,2432,10.77,12.39,good
541,2553,13.66,17.95,best
542,2574,12.74,10.07,good
543,2575,3.33,8.56,none
544,1340,2.16,1.56,none
545,1592,10.39,20.43,good
546,2560,8.66,16.04,good
547,1111,7.2,11.9,average
548,2620,2.08,2.66,none
549,2621,2.66,5.1,low
550,2638,5.83,12.24,low
551,2426,9.84,21.93,good
552,1482,10.31,24.16,good
553,2548,10.67,24.77,good
554,2552,10.31,16.83,best
555,1171,3.91,8.4,none
556,2631,4.26,5.75,none
557,1595,7.23,16.54,good
558,2569,7.6,13.73,average
559,2634,7.84,16.3,average
560,2635,8.58,13.73,average
561,2570,8.1,16.93,average
562,1788,2.33,2.68,none
563,1259,6.18,11.66,average
564,1785,1.75,3.03,none
565,2571,3.26,6.41,low
566,2573,6.62,10.78,average
567,2550,8.68,14.59,average
568,1352,13.09,17.95,good
569,2432,14.24,18.87,best
570,2553,11.93,17.72,best
571,2574,9.26,13.55,good
572,2575,5.11,9.63,none
573,1340,2.39,2.63,none
574,1592,17.2,43.29,best
575,2560,14.33,24.94,good
576,2562,13.58,29.22,good
577,1252,10.8,26.59,good
578,2548,13.02,35.54,good
579,1482,16.85,38.15,best
580,2552,14.24,33.89,good
581,2547,17.45,37.49,good
582,2568,13.91,31.63,good
583,1596,13.55,20.11,average
584,2569,14.57,22.15,good
585,2634,18.95,40.52,good
586,2635,10.2,20.4,good
587,2570,11.66,24.87,good
588,1522,14.75,33.16,good
589,1788,15.25,31.05,average
590,2571,15.67,31.33,good
591,2573,14.24,32.97,good
592,2550,10.66,20.25,good
593,2553,11.32,27.44,best
594,2575,6.77,19.91,low
595,1592,16.48,34.11,good
596,2560,21.5,35.83,best
597,2562,14.42,33.19,good
598,1252,11.88,27.13,average
599,2548,16.85,49.34,best
600,2552,7.83,15.52,low
601,2547,19.09,46.36,best
602,2568,21,52.76,best
603,1596,17.05,42085,best
604,2634,17.49,39.79,average
605,2635,14.57,32.5,good
606,2570,14.05,49.88,best
607,1522,15.45,52.26,good
608,1788,13.86,32.86,good
609,2571,18.02,39.79,best
610,2573,10.17,8.72,none
611,2550,14.65,27.97,good
612,2553,18.25,39.69,best
613,2575,10.62,13.81,none
614,2562,14.56,38.79,best
615,1252,12.15,26.05,average
616,2548,7.66,26.51,average
617,2552,7.12,14.24,low
618,2547,13.91,42.95,good
619,2568,12.27,40.08,good
620,1596,10.93,33.81,good
621,2569,10.2,31.33,best
622,2634,18.22,40.22,good
623,2635,14.57,30.75,good
624,2570,14.05,35.4,best
625,1522,13.35,42.43,best
626,1788,8.32,17.33,low
627,2571,15.25,41.87,good
628,2550,5.33,9.99,none
629,1111,3.41,2.84,none
630,2562,5.49,7.99,low
631,2426,5.93,8.3,none
632,2548,8.06,15.58,average
633,1596,3.58,4.56,none
634,2634,4.44,5.43,none
635,1788,8.12,13.07,low
636,2571,14.36,23.55,best
637,2622,9.77,16.25,best
638,2431,10.25,17.08,low
639,2553,9.68,14.69,average
640,2574,7.4,11.62,average
641,2575,6.16,9.48,low
642,1785,6.95,10.24,low
643,1592,11.45,14.22,good
644,2560,7.23,9.16,average
645,1111,4.54,6.92,average
646,2562,8.6,8.83,average
647,2426,9.01,17.42,best
648,2548,9.36,13.04,good
649,1596,9.01,17.27,best
650,2634,9.13,11.84,average
651,1788,6.83,9.54,average
652,1785,5.65,7.89,average
653,2571,10.6,12.72,best
654,2622,8.95,11.07,good
655,2431,10.02,10.25,average
656,2432,11.73,14.46,best
657,2550,10.82,15.37,average
658,2553,9.91,11.96,good
659,2574,9.68,12.41,good
660,2575,6.16,7.94,average
661,2621,4.03,5.98,average
662,3266,10,21.86,none
663,3267,15.36,33.65,none
664,3268,3.26,18.01,none
665,3269,11.29,24.72,none
666,2770,9.52,20.85,none
667,2460,13.52,29.6,none
668,2562,17.06,40.44,none
669,3270,12.62,27.7,none
670,3271,8.53,18.73,none
671,2569,16.69,36.65,none
672,1596,11.76,25.84,none
673,3068,1.89,4.14,none
674,3272,11.4,26.63,none
675,3273,4.32,10.1,none
676,2573,10.11,23.62,none
677,1257,9.62,21.07,none
678,1825,9.05,19.81,none
679,2768,12.03,32.09,none
680,1609,12.75,33.99,none
681,3275,5.72,15.25,none
682,3274,10.08,26.87,none
683,3266,11.75,25.73,none
684,3267,13.63,19.91,none
685,3268,8.08,17.69,none
686,3269,11.74,25.71,none
687,2770,5.14,11.25,none
688,2460,11.8,25.85,none
689,2562,14.17,33.6,none
690,3270,16.29,35.78,none
691,3271,10.68,23.46,none
692,2569,12.65,27.79,none
693,1596,14.98,32.88,none
694,3068,14.64,32.15,none
695,3272,15.14,35.37,none
696,3273,10.58,24.72,none
697,2573,11.83,27.66,none
698,1257,11.96,26.18,none
699,1825,7.99,17.5,none
700,2768,11.22,29.91,none
701,1609,8.21,21.89,none
702,3275,10.57,28.19,none
703,3274,7.47,19.92,none
704,3266,9.21,20.16,none
705,3267,7.59,16.63,none
706,3268,6.53,14.31,none
707,3269,11.57,25.34,none
708,2770,6.96,15.23,none
709,2460,11.03,24.16,none
710,2562,12.28,29.11,none
711,3270,13.33,29.29,none
712,3271,5.56,12.2,none
713,2569,10.42,22.89,none
714,1596,13.73,30.15,none
715,3068,13.55,29.76,none
716,3272,14.41,33.68,none
717,3273,11.06,25.85,none
718,2573,8.87,20.72,none
719,1257,9.72,21.27,none
720,1825,8.97,19.63,none
721,2768,9.89,26.37,none
722,1609,9.82,26.19,none
723,3275,6.51,17.35,none
724,3274,7.71,20.57,none
725,?,12.64,27.68,none
726,?,13.05,30.93,none
727,?,11.89,26.16,none
728,?,16.46,38.51,none
729,?,10.96,24,none
730,?,10.87,29.02,none
731,2548,12.64,41.63,average
732,2552,10.61,33.35,good
733,2568,9.47,28.21,good
734,1522,11.49,27.36,good
735,?,8.84,22.34,average
