,animal_name,hair,feathers,eggs,milk,airborne,aquatic, predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
67,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
68,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
69,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
70,rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
71,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
72,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
73,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
74,sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
75,seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
76,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
77,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
78,skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
79,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
80,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
81,sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
82,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
83,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
84,starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
85,stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
86,swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
87,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
88,toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
89,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
90,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
91,tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
92,vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
93,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
94,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
95,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
96,wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
97,wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
98,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
99,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
